[1,[0],	[[485,0],[58,0]]]
[2,[0],	[[58,0],[410,0],[418,0]]]
[3,[0],	[[330,0],[604,0],[14,0],[58,0]]]
[4,[0],	[[417,0],[58,0]]]
[5,[0],	[[86,0],[266,0],[304,0],[498,0],[395,0],[14,0],[375,0],[316,0],[58,0]]]
[6,[0],	[[58,0]]]
[7,[0],	[[474,0],[325,0],[272,0],[184,0],[498,0],[354,0],[375,0],[247,0],[22,0],[48,0],[326,0],[550,0],[391,0],[430,0],[351,0],[402,0],[211,0],[519,0],[185,0],[475,0],[90,0],[256,0],[518,0],[603,0],[556,0],[254,0],[58,0]]]
[8,[0],	[[225,0],[86,0],[58,0]]]
[9,[0],	[[512,0],[601,0],[162,0],[396,0]]]
[10,[0],	[[316,0],[539,0],[86,0],[270,0],[58,0],[441,0],[14,0],[421,0],[498,0],[147,0],[89,0],[247,0],[488,0],[461,0],[207,0],[39,0],[100,0],[18,0],[274,0],[319,0],[482,0]]]
[11,[0],	[[166,0],[539,0],[396,0],[362,0],[58,0],[474,0],[186,0],[174,0],[99,0],[462,0],[14,0],[601,0],[603,0],[325,0],[150,0],[459,0],[261,0],[541,0],[272,0],[363,0],[354,0],[316,0],[375,0],[501,0],[393,0],[247,0],[88,0],[22,0],[48,0],[326,0],[550,0],[549,0],[175,0],[371,0],[156,0],[538,0],[319,0],[527,0],[53,0],[13,0],[533,0],[499,0],[399,0],[524,0],[233,0],[451,0],[370,0],[244,0],[306,0],[304,0],[460,0],[28,0],[125,0],[218,0],[35,0],[131,0],[351,0],[195,0],[282,0],[211,0],[519,0],[390,0],[448,0],[139,0],[532,0],[205,0],[544,0]]]
[12,[0],	[[58,0]]]
[13,[0],	[[478,0],[539,0],[86,0],[362,0],[58,0],[182,0],[14,0],[450,0],[601,0],[325,0],[421,0],[261,0],[541,0],[272,0],[30,0],[316,0],[375,0],[501,0],[393,0],[89,0],[247,0],[166,0],[88,0],[258,0],[22,0],[43,0],[550,0],[511,0],[11,0],[175,0],[371,0],[527,0],[53,0],[533,0],[524,0],[451,0],[370,0],[306,0],[304,0],[36,0],[35,0],[183,0],[211,0],[390,0],[448,0],[506,0],[139,0],[194,0]]]
[14,[0],	[[301,0],[539,0],[477,0],[396,0],[77,0],[556,0],[86,0],[362,0],[58,0],[474,0],[385,0],[330,0],[186,0],[441,0],[104,0],[182,0],[462,0],[103,0],[273,0],[450,0],[601,0],[200,0],[603,0],[325,0],[150,0],[548,0],[421,0],[459,0],[261,0],[600,0],[449,0],[592,0],[541,0],[272,0],[30,0],[283,0],[363,0],[184,0],[498,0],[354,0],[316,0],[375,0],[72,0],[297,0],[517,0],[501,0],[393,0],[340,0],[89,0],[247,0],[166,0],[88,0],[276,0],[338,0],[196,0],[478,0],[22,0],[528,0],[415,0],[285,0],[48,0],[326,0],[43,0],[424,0],[488,0],[178,0],[45,0],[133,0],[311,0],[550,0],[431,0],[98,0],[461,0],[140,0],[123,0],[199,0],[207,0],[434,0],[39,0],[46,0],[49,0],[11,0],[132,0],[175,0],[594,0],[371,0],[156,0],[290,0],[100,0],[80,0],[10,0],[319,0],[97,0],[527,0],[53,0],[406,0],[13,0],[533,0],[480,0],[143,0],[399,0],[524,0],[305,0],[245,0],[451,0],[342,0],[370,0],[117,0],[244,0],[306,0],[391,0],[154,0],[482,0],[176,0],[304,0],[341,0],[357,0],[352,0],[96,0],[460,0],[15,0],[570,0],[125,0],[218,0],[35,0],[255,0],[537,0],[289,0],[561,0],[211,0],[565,0],[606,0],[185,0],[475,0],[518,0],[50,0],[425,0],[92,0],[5,0],[194,0],[295,0],[113,0],[532,0],[69,0],[317,0],[447,0],[395,0],[604,0],[3,0]]]
[15,[0],	[[14,0],[43,0],[45,0],[175,0],[305,0],[306,0],[357,0],[289,0],[58,0],[532,0],[498,0]]]
[16,[0],	[[47,0],[586,0],[213,0],[58,0],[407,0],[579,0],[601,0],[325,0],[316,0],[375,0],[512,0]]]
[17,[0],	[[309,0],[588,0],[388,0],[56,0],[287,0],[494,0],[557,0],[589,0],[192,0],[586,0]]]
[18,[0],	[[86,0],[362,0],[58,0],[601,0],[200,0],[120,0],[421,0],[541,0],[272,0],[283,0],[316,0],[375,0],[501,0],[247,0],[478,0],[100,0],[274,0],[10,0],[28,0],[476,0]]]
[19,[0],	[[232,0],[303,0],[58,0]]]
[20,[0],	[[58,0]]]
[21,[0],	[[58,0]]]
[22,[0],	[[319,0],[27,0],[539,0],[396,0],[556,0],[86,0],[362,0],[58,0],[474,0],[186,0],[174,0],[441,0],[99,0],[182,0],[462,0],[103,0],[14,0],[450,0],[601,0],[200,0],[603,0],[325,0],[150,0],[548,0],[421,0],[459,0],[261,0],[541,0],[272,0],[30,0],[363,0],[184,0],[498,0],[354,0],[316,0],[375,0],[297,0],[501,0],[393,0],[247,0],[166,0],[88,0],[258,0],[478,0],[285,0],[48,0],[326,0],[43,0],[488,0],[45,0],[550,0],[431,0],[98,0],[463,0],[199,0],[207,0],[549,0],[49,0],[11,0],[175,0],[371,0],[454,0],[156,0],[290,0],[217,0],[538,0],[527,0],[53,0],[452,0],[359,0],[380,0],[439,0],[13,0],[533,0],[143,0],[499,0],[399,0],[524,0],[233,0],[451,0],[370,0],[547,0],[244,0],[306,0],[304,0],[129,0],[341,0],[82,0],[460,0],[28,0],[84,0],[165,0],[125,0],[218,0],[35,0],[131,0],[351,0],[7,0],[255,0],[195,0],[493,0],[282,0],[402,0],[561,0],[211,0],[575,0],[606,0],[519,0],[147,0],[215,0],[475,0],[518,0],[158,0],[390,0],[448,0],[506,0],[139,0],[532,0],[121,0],[205,0],[193,0],[544,0],[489,0],[90,0]]]
[23,[0],	[[58,0],[252,0],[332,0],[566,0],[432,0],[25,0]]]
[24,[0],	[[58,0]]]
[25,[0],	[[58,0],[23,0],[332,0],[566,0]]]
[26,[0],	[[551,0],[86,0],[58,0],[171,0],[321,0]]]
[27,[0],	[[412,0],[573,0],[162,0],[477,0],[309,0],[362,0],[270,0],[407,0],[387,0],[441,0],[182,0],[601,0],[603,0],[22,0]]]
[28,[0],	[[58,0],[362,0],[272,0],[375,0],[247,0],[22,0],[11,0],[175,0],[538,0],[53,0],[305,0],[306,0],[18,0],[460,0],[218,0],[35,0],[131,0],[211,0],[545,0]]]
[29,[0],	[[539,0],[254,0],[587,0],[270,0],[388,0],[221,0],[293,0],[95,0],[216,0],[272,0],[460,0],[576,0],[430,0],[32,0]]]
[30,[0],	[[211,0],[477,0],[396,0],[362,0],[58,0],[474,0],[385,0],[186,0],[441,0],[182,0],[103,0],[14,0],[450,0],[601,0],[200,0],[180,0],[603,0],[598,0],[548,0],[421,0],[261,0],[541,0],[272,0],[283,0],[363,0],[498,0],[354,0],[316,0],[72,0],[416,0],[308,0],[501,0],[393,0],[340,0],[247,0],[88,0],[258,0],[478,0],[22,0],[528,0],[415,0],[202,0],[45,0],[311,0],[98,0],[39,0],[46,0],[299,0],[175,0],[156,0],[290,0],[274,0],[210,0],[453,0],[527,0],[53,0],[13,0],[533,0],[499,0],[524,0],[233,0],[370,0],[507,0],[176,0],[219,0],[352,0],[35,0],[351,0],[379,0],[255,0],[106,0],[289,0],[561,0],[201,0],[565,0],[226,0],[158,0],[57,0],[190,0],[390,0],[139,0],[532,0],[205,0]]]
[31,[0],	[[58,0]]]
[32,[0],	[[29,0],[576,0],[254,0],[388,0],[272,0]]]
[33,[0],	[[58,0]]]
[34,[0],	[[58,0],[68,0]]]
